site_name,url,title,date,facebook_total,facebook_likes,facebook_shares,facebook_comments
Channel News Asia,https://www.channelnewsasia.com/news/singapore/wuhan-virus-pneumonia-singapore-confirms-first-case-12312860,Singapore confirms first case of Wuhan virus,23/1/20,182154,110551,38206,33397
Straits Times,https://www.straitstimes.com/singapore/health/singapore-confirms-first-case-of-wuhan-virus,Singapore confirms first case of Wuhan virus,23/1/20,105335,62069,23300,19966
Straits Times,https://www.straitstimes.com/singapore/wuhan-virus-every-household-in-singapore-to-get-4-masks-collection-starts-on-feb-1,Wuhan virus: Every household in Singapore to get 4 masks; collection starts on Feb 1,30/1/20,84941,47273,22693,14978
Yahoo Singapore,https://sg.news.yahoo.com/wuhan-virus-singapore-expands-travel-ban-to-all-china-passport-holders-100729231.html,Wuhan virus: Singapore expands travel ban to all China visitors,31/1/20,69162,52798,11265,5099
Channel News Asia,https://www.channelnewsasia.com/news/singapore/wuhan-virus-singapore-fifth-confirmed-case-moh-12359140,Fifth confirmed case of Wuhan virus in Singapore: MOH,28/1/20,64897,37401,16227,11271
Channel News Asia,https://www.channelnewsasia.com/news/singapore/wuhan-virus-pneumonia-cases-outbreak-singapore-confirmed-cases-12319272,Two more people test positive for Wuhan virus in Singapore; total of 3 confirmed cases: MOH,24/1/20,58650,33889,15344,9418
Channel News Asia,https://www.channelnewsasia.com/news/singapore/wuhan-virus-singapore-latest-confirmed-cases-coronavirus-12360924,"Wuhan virus: Singapore confirms 2 more new cases, bringing total number infected to 7",28/1/20,50485,30423,9516,10546
Straits Times,https://www.straitstimes.com/singapore/wuhan-virus-7-confirmed-cases-in-singapore-no-entry-or-transit-for-new-visitors-with-hubei,"Wuhan virus: 2 new confirmed cases in Singapore, bringing total to 7; no entry or transit for new visitors from Hubei",28/1/20,50405,26335,13039,11031
Channel News Asia,https://www.channelnewsasia.com/news/singapore/wuhan-virus-singapore-new-confirmed-cases-13-12369838,"Wuhan virus: 3 new cases confirmed in Singapore, bringing tally to 13",30/1/20,49662,29734,10115,9813
Straits Times,https://www.straitstimes.com/singapore/health/singapore-confirms-2-more-wuhan-virus-cases-bringing-total-to-three-infected,"Singapore confirms 2 more Wuhan virus cases, bringing total to three infected",24/1/20,47333,25620,13731,7982
Straits Times,https://www.straitstimes.com/singapore/singapore-confirms-3-more-wuhan-virus-cases-bringing-total-to-10-all-are-from-wuhan,"Singapore confirms 3 more Wuhan virus cases, bringing total to 10; all are from Wuhan",29/1/20,46477,26765,9730,9986
Straits Times,https://www.straitstimes.com/singapore/health/public-should-use-surgical-masks-not-n95-masks-to-guard-against-wuhan-virus-spread,"Public should use surgical masks, not N95 masks, to guard against Wuhan virus spread: Experts",22/1/20,40255,23134,11140,5981
Channel News Asia,https://www.channelnewsasia.com/news/singapore/4th-confirmed-case-of-wuhan-pneumonia-virus-in-singapore-moh-12339912,4th confirmed case of Wuhan virus in Singapore: MOH,26/1/20,40081,22438,8577,9066
Channel News Asia,https://www.channelnewsasia.com/news/singapore/face-masks-wuhan-virus-singapore-households-distribute-12369716,Singapore households to get 4 face masks each amid worries over Wuhan virus,30/1/20,38431,24579,6877,6976
Channel News Asia,https://www.channelnewsasia.com/news/singapore/wuhan-virus-singapore-latest-confirmed-cases-coronavirus-12346174,"No new cases of Wuhan virus, 92 suspected cases so far: MOH",26/1/20,36047,22261,9183,4606
Straits Times,https://www.straitstimes.com/singapore/wuhan-virus-visitors-with-recent-travel-history-to-china-not-allowed-entry-or-transit-to,Wuhan virus: Visitors with recent travel history to China not allowed entry or transit to Singapore,31/1/20,35428,23008,7783,4637
Straits Times,https://www.straitstimes.com/singapore/health/wuhan-virus-first-singaporean-confirmed-to-have-virus-she-was-on-scoot-flight-from,Wuhan virus: First Singaporean case confirmed; she was on Scoot flight from Wuhan,31/1/20,34978,17802,12802,4374
Channel News Asia,https://www.channelnewsasia.com/news/singapore/wuhan-virus-singapore-what-we-know-confirmed-cases-12324270,Wuhan virus in Singapore: What we know about the confirmed cases,24/1/20,27492,16978,5901,4613
Today Online,https://www.todayonline.com/singapore/wuhan-virus-suspected-cases-singapore-go-5-moh-warns-more-come,"Wuhan virus: Suspected cases in Singapore go up to 5, MOH warns of more to come",17/1/20,24194,12060,8599,3535
Straits Times,https://www.straitstimes.com/singapore/wuhan-virus-3-more-confirmed-cases-in-singapore-total-number-is-now-13-infected-in-the,"Wuhan virus: 3 more confirmed cases in Singapore, total number is now 13 infected in the country",30/1/20,23737,13827,5313,4597
Straits Times,https://www.straitstimes.com/asia/se-asia/wuhan-virus-thailand-confirms-first-human-to-human-transmission,Wuhan virus: Thailand confirms first human-to-human transmission,31/1/20,22870,14662,5374,2834
Channel News Asia,https://www.channelnewsasia.com/news/singapore/wuhan-virus-travel-restrictions-all-visitors-china-12374324,Wuhan coronavirus: Singapore to widen travel restrictions to all new visitors who recently travelled to mainland China,31/1/20,22232,15380,3991,2862
Straits Times,https://www.straitstimes.com/singapore/singapore-confirms-4th-case-of-wuhan-virus-patient-from-wuhan-stayed-at-sentosa-hotel,Singapore confirms 4th case of Wuhan virus; patient from Wuhan stayed at Sentosa hotel,26/1/20,21010,11694,5342,3976
Straits Times,https://www.straitstimes.com/singapore/wuhan-virus-singapore-to-impose-14-days-leave-of-absence-for-those-in-schools-healthcare,"Wuhan virus: Singapore to impose 14 days leave of absence for those in schools, healthcare and eldercare who travelled to China",27/1/20,20140,10675,6265,3201
Straits Times,https://www.straitstimes.com/singapore/wuhan-virus-singapore-confirms-5th-case-patient-from-wuhan-stayed-at-her-familys-home-in,Wuhan virus: Singapore confirms 5th case; patient from Wuhan stayed at her family's home in Ceylon Road,28/1/20,19637,10152,6418,3072
Straits Times,https://www.straitstimes.com/singapore/health/all-public-hospitals-now-capable-of-treating-confirmed-wuhan-virus-patients,Wuhan virus: All public hospitals in Singapore now capable of treating confirmed patients,24/1/20,17283,11219,4907,1157
Channel News Asia,https://www.channelnewsasia.com/news/asia/wuhan-virus-malaysia-confirms-first-3-cases-all-patients-related-12331172,Wuhan virus: Malaysia confirms first 3 cases; all patients related to Chinese national who was Singapore's first case,25/1/20,16944,10336,4224,2385
Straits Times,https://www.straitstimes.com/asia/se-asia/malaysia-confirms-first-cases-of-wuhan-coronavirus-infection,Malaysia confirms first cases of Wuhan coronavirus infection,25/1/20,15317,9218,4035,2064
Channel News Asia,https://www.channelnewsasia.com/news/singapore/wuhan-virus-masks-saf-safti-coronavirus-household-12374196,"Wuhan coronavirus: 1,500 SAF personnel packing 5.2m masks in 24-hour operation",31/1/20,15094,11821,1943,1331
Straits Times,https://www.straitstimes.com/asia/se-asia/thailand-confirms-six-more-coronavirus-infections-bringing-its-total-to-14,"Wuhan virus: Thailand confirms six more infections, bringing its total to 14",28/1/20,14126,8762,3392,1972
Today Online,https://www.todayonline.com/singapore/singapore-confirms-5th-case-wuhan-virus,Singapore confirms 5th case of Wuhan virus,27/1/20,13779,8733,2604,2443
Straits Times,https://www.straitstimes.com/singapore/health/wuhan-virus-public-hospitals-in-singapore-in-outbreak-response-mode,Wuhan virus: Public hospitals in Singapore in 'outbreak response mode',21/1/20,13749,7888,4665,1197
Straits Times,https://www.straitstimes.com/asia/se-asia/wuhan-virus-philippines-stops-issuing-visas-on-arrival-to-chinese-nationals,Wuhan virus: Philippines stops issuing visas on arrival to Chinese nationals,28/1/20,12963,9543,2131,1289
Straits Times,https://www.straitstimes.com/singapore/wuhan-virus-village-hotel-sentosa-identifies-isolates-7-staff-who-were-in-contact-with,"Wuhan virus: Village Hotel Sentosa identifies, isolates 7 staff who were in contact with patient",26/1/20,12024,7308,3251,1465
Yahoo Singapore,https://sg.news.yahoo.com/wuhan-virus-3-more-confirmed-cases-in-singapore-total-at-13-130404342.html,"Wuhan virus: 3 more confirmed cases in Singapore, total at 13",30/1/20,11368,6573,2127,2670
Channel News Asia,https://www.channelnewsasia.com/news/singapore/wuhan-virus-singapore-new-confirmed-cases-10-total-12364556,Singapore confirms 3 new cases of Wuhan virus; total of 10 infected,29/1/20,10675,6355,1898,2422
Today Online,https://www.todayonline.com/singapore/wuhan-virus-no-ban-china-travellers-moment-govt-cautions-against-overreacting,"Wuhan virus: No ban on travellers from China at the moment, as Govt cautions against overreacting",27/1/20,10572,5139,2307,3126
Channel News Asia,https://www.channelnewsasia.com/news/singapore/wuhan-virus-singapore-new-cases-coronavirus-china-12373156,"Singaporean evacuated from Wuhan among country's 3 new cases of coronavirus, total now 16: MOH",31/1/20,10454,6347,2585,1523
Channel News Asia,https://www.channelnewsasia.com/news/singapore/wuhan-virus-travellers-from-china-pneumonia-coronavirus-12296402,Wuhan virus: Singapore to isolate all travellers from China with pneumonia,21/1/20,10336,7498,1969,869
Mothership,https://www.mothership.sg/2020/01/bangkok-wuhan-virus-high-risk,Bangkok most in danger of deadly Wuhan virus as it gets many travellers from China,29/1/20,9649,4485,3102,2062
Today Online,https://www.todayonline.com/singapore/wuhan-virus-singapore-confirms-first-imported-case-another-suspected-case-has-positive,Wuhan virus: Singapore confirms first imported case; another suspected case has positive preliminary test,23/1/20,9500,5272,2275,1955
Straits Times,https://www.straitstimes.com/singapore/wuhan-virus-no-new-cases-in-singapore-number-of-confirmed-cases-stands-at-4,"Wuhan virus: No new confirmed cases in Singapore, number of suspect cases climbs to 92",26/1/20,9385,6338,2027,1020
Straits Times,https://www.straitstimes.com/singapore/health/100-a-day-for-those-quarantined-severe-penalties-for-people-who-flout-quarantine,Wuhan virus: $100 a day for those quarantined; severe penalties for people who flout quarantine orders,28/1/20,9073,4992,2437,1644
Channel News Asia,https://www.channelnewsasia.com/news/asia/wuhan-virus-malaysia-fourth-confirmed-case-12340042,Malaysia reports fourth confirmed case of Wuhan virus,26/1/20,9037,5685,2040,1313
Channel News Asia,https://www.channelnewsasia.com/news/singapore/wuhan-virus-hostels-nus-ntu-smu-quarantine-university-students-12357980,"NUS, NTU, SMU hostels to be used as quarantine facilities for Wuhan virus",27/1/20,8880,4836,2827,1218
Channel News Asia,https://www.channelnewsasia.com/news/singapore/wuhan-virus-singapore-obs-camp-pulau-ubin-quarantine-facility-12360724,Wuhan virus: Outward Bound Singapore camps on Pulau Ubin to be used as quarantine facility,28/1/20,8522,5036,2089,1397
Channel News Asia,https://www.channelnewsasia.com/news/singapore/wuhan-virus-masks-singapore-false-sense-security-experts-12370522,"Masks may offer 'false sense of security' against Wuhan virus, say medical experts",30/1/20,8270,4617,1813,1840
Channel News Asia,https://www.channelnewsasia.com/news/singapore/singapore-psychologically-prepared-wuhan-virus-worse-sars-12358110,Singapore must be psychologically prepared that Wuhan virus could be worse than SARS: Lawrence Wong,27/1/20,7851,4525,1838,1488
Yahoo Singapore,https://sg.news.yahoo.com/wuhan-coronavirus-outbreak-singapore-confirms-2-more-cases-070818594.html,Wuhan coronavirus outbreak: Singapore confirms 2 more cases,23/1/20,7510,4339,1628,1543
Straits Times,https://www.straitstimes.com/asia/se-asia/wuhan-virus-philippines-confirms-first-case-in-chinese-woman-who-arrived-from-wuhan,Wuhan virus: Philippines confirms first case in Chinese woman who arrived from Wuhan,30/1/20,7303,4513,1721,1069
Channel News Asia,https://www.channelnewsasia.com/news/singapore/wuhan-virus-singapore-bans-travellers-from-hubei-12361268,Wuhan virus: Singapore to impose travel restrictions on holders of Chinese passports issued in Hubei,28/1/20,7285,4337,1592,1356
Straits Times,https://www.straitstimes.com/asia/se-asia/vietnam-confirms-two-cases-of-sars-like-coronavirus,Wuhan virus: Vietnam confirms 2 cases of Sars-like coronavirus,23/1/20,7181,4935,1441,805
Today Online,https://www.todayonline.com/singapore/4th-confirmed-case-wuhan-virus-singapore-moh,4th confirmed case of Wuhan virus in Singapore: MOH,26/1/20,7018,4152,1311,1555
Yahoo Singapore,https://sg.news.yahoo.com/wuhan-virus-3-new-cases-including-1st-singaporean-total-at-16-120840526.html,"Wuhan virus: 1st Singaporean confirmed case, total at 16",31/1/20,6938,3618,2233,1087
Channel News Asia,https://www.channelnewsasia.com/news/singapore/wuhan-virus-singapore-airlines-sia-scoot-china-flights-12372562,"Wuhan virus: Scoot to suspend flights between Singapore and 11 Chinese cities, Singapore Airlines to reduce capacity",31/1/20,6919,4638,1609,672
Channel News Asia,https://www.channelnewsasia.com/news/singapore/wuhan-virus-woodlands-tuas-checkpoint-temperature-screening-12319724,"Wuhan virus: ICA to begin temperature screening at Woodlands, Tuas checkpoints",24/1/20,6747,4174,1905,668
Today Online,https://www.todayonline.com/singapore/visitors-who-have-been-hubei-over-last-14-days-barred-entering-or-transiting-singapore,2 more confirmed cases of Wuhan virus in S’pore; new visitors who have recently been to Hubei barred from Jan 29,28/1/20,6358,3929,1575,854
Yahoo Singapore,https://sg.news.yahoo.com/wuhan-coronavirus-confirmed-in-spore-130424302.html,Wuhan coronavirus outbreak: 1st case confirmed in Singapore,23/1/20,6257,4286,1023,948
Channel News Asia,https://www.channelnewsasia.com/news/singapore/wuhan-virus-increased-border-checks-compulsory-leave-measures-12353448,"Wuhan virus: Increased border checks, leave of absence among new counter-measures",27/1/20,6152,3742,1228,1183
Straits Times,https://www.straitstimes.com/singapore/health/wuhan-virus-university-students-move-out-of-campus-residences-designated-as,Wuhan virus: University students move out of campus residences designated as quarantine centres,27/1/20,6101,3784,1655,662
The Online Citizen,https://www.theonlinecitizen.com/2020/01/24/video-showing-chinese-woman-eating-bat-at-restaurant-goes-viral-as-the-world-combats-wuhan-virus,Video showing Chinese woman eating bat at restaurant goes viral as the world combats Wuhan virus,24/1/20,6005,2965,1300,1740
Channel News Asia,https://www.channelnewsasia.com/news/singapore/wuhan-virus-singapore-has-done-well-in-handling-situation-pm-lee-12373344,"Singapore has 'done well' in handling Wuhan coronavirus situation, but must remain vigilant: PM Lee",31/1/20,5824,4193,822,809
Channel News Asia,https://www.channelnewsasia.com/news/business/wuhan-virus-singapore-economy-tourism-impact-concern-12357930,Wuhan virus expected to impact Singapore’s economy: Chan Chun Sing,27/1/20,5759,3856,636,1267
Today Online,https://www.todayonline.com/singapore/govt-distribute-masks-all-137-million-singaporean-households-amid-wuhan-virus-outbreak,Govt to distribute masks to all 1.37 million Singaporean households amid Wuhan virus outbreak,30/1/20,5458,3114,995,1350
Today Online,https://www.todayonline.com/singapore/sporeans-must-be-prepared-wuhan-virus-spread-community-pm-lee,S’poreans must be prepared for Wuhan virus to spread in the community: PM Lee ,28/1/20,5381,2796,954,1631
Straits Times,https://www.straitstimes.com/singapore/health/no-more-overnight-stay-for-sia-pilots-and-cabin-crew-on-flights-to-beijing-and,"Wuhan virus: No more overnight stay for SIA pilots and cabin crew on flights to Beijing, Shanghai",29/1/20,5355,3642,964,749
Today Online,https://www.todayonline.com/singapore/wuhan-virus-outbreak-singapore-confirms-3-more-cases-bringing-total-10,"Wuhan virus outbreak: Singapore confirms 3 more cases, bringing total to 10",29/1/20,5314,3216,1078,1020
Straits Times,https://www.straitstimes.com/singapore/3rd-suspected-wuhan-virus-case-detected-in-singapore-man-isolated-as-precaution,"3rd suspected Wuhan virus case detected in Singapore, man isolated as precaution",16/1/20,4966,2708,1822,436
