Covid-education/Insitiutions,Malaysia,Public Transport,Covid-Economy,Covid-Affected places,World News,Covid-Air Travel,Covid-South Korea,Covid-Daily Cases,Global Politics,Covid-Lockdown (local),General Elections SG,Social Media,Local Policy/Measures,Crime,Financial,Sports,SG accidents,Entertainment news,Covide-Workers,,
Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,,
school,malaysia,masks,commentary,visited,india,hong,south,cases,trump,food,ge,facebook,support,man,vaccine,football,stomp,dies,workers,,
students,circuit,face,pandemic,centre,lockdown,kong,korea,reports,china,delivery,lee,court,jobs,arrested,china,times,man,actor,home,,
home,breaker,mask,forum,changi,indonesia,china,china,death,biden,home,pap,police,budget,police,billion,top,car,actress,positive,,
schools,pm,public,chan,mall,cruise,travel,study,deaths,election,free,pm,case,pay,woman,global,world,hdb,wife,test,T1,Covid-education/Insitiutions
online,measures,wear,health,places,australia,flights,north,community,pm,tea,party,media,job,jail,pandemic,straits,driver,singer,stay,T2,Malaysia
student,safe,ong,sing,open,ship,thai,outbreak,imported,house,restaurant,wp,fake,workers,charged,world,morning,road,baby,tests,T3,Public Transport
nus,distancing,wearing,chun,opens,japan,ban,spread,case,taiwan,buying,tan,heng,firms,allegedly,oil,tokyo,accident,star,work,T4,Covid-Economy
kids,rules,hand,change,park,dead,law,korean,including,president,chicken,lim,claims,amid,jailed,sales,update,woman,son,foreign,T5,Covid-Affected places
based,malaysian,kung,world,hotel,philippines,chinese,risk,china,white,stay,grc,social,million,stomp,prices,show,hospital,family,migrant,T6,World News
children,minister,ye,work,sale,hit,air,experts,infections,chinese,rice,parliament,swee,relief,death,million,stories,fire,love,hospital,T7,Covid-Air Travel
parents,social,line,crisis,airport,indonesian,flight,kim,toll,deal,online,election,news,staff,men,amid,league,flat,lee,worker,T8,Covid-South Korea
learning,mahathir,transport,amid,city,china,thailand,health,daily,johnson,guide,opposition,report,cut,officer,economy,games,police,pop,patients,T9,Covid-Daily Cases
pre,muhyiddin,plastic,future,orchard,indian,security,chinese,rise,trade,bubble,psp,keat,pandemic,court,hit,game,bukit,chinese,staff,T10,Global Politics
resume,people,fight,climate,infectious,australian,taiwan,asia,record,huawei,selling,mp,online,singaporeans,murder,demand,dies,bus,mum,quarantine,T11,Covid-Lockdown (local)
services,lockdown,free,president,till,killed,restrictions,wuhan,malaysia,japan,shop,political,video,billion,guilty,asia,virtual,found,life,wuhan,T12,General Elections SG
chu,amid,people,mental,store,chinese,australia,shows,confirmed,calls,customer,pritam,calls,scheme,women,market,olympics,arrested,show,patient,T13,Social Media
kang,wong,front,tech,close,fears,amid,people,confirms,commentary,stall,singh,post,fund,student,fall,star,dog,mother,tested,T14,Local Policy/Measures
video,lawrence,mrt,home,bay,philippine,airlines,warns,total,presidential,coffee,chee,chinese,measures,found,commentary,liverpool,taxi,daughter,notice,T15,Crime
contact,period,medical,life,stores,sea,sia,vaccine,indonesia,uk,mcdonald,workers,group,digital,drug,trial,fans,tampines,singaporean,testing,T16,Financial
free,phase,residents,singaporeans,outlet,thousands,outbreak,scientists,linked,top,panic,candidates,apologises,income,accused,india,premier,driving,birthday,mom,T17,Sports
close,johor,hands,economic,jurong,floods,protest,patients,cluster,campaign,ice,hsien,dpm,sector,maid,rise,due,park,video,infected,T18,SG accidents
tracetogether,anwar,waste,economy,closes,jakarta,protesters,finds,italy,eu,meat,cheng,FALSE,forum,charges,stocks,st,ang,wedding,healthcare,T19,Entertainment news
work,reopening,million,post,online,president,quarantine,disease,million,xi,products,mps,tiktok,package,sex,sources,win,block,drama,medical,T20,Covide-Workers
allowed,mdb,japan,global,closed,myanmar,wuhan,sea,reported,win,finds,coast,pofma,cash,fined,record,art,mo,taiwanese,care,,
app,najib,water,people,market,state,countries,flu,spike,ties,order,sengkang,viral,businesses,wife,deal,play,kio,couple,moh,,
education,fined,bags,good,cases,found,japan,expert,surge,iran,eat,goh,twitter,financial,teen,recession,national,allegedly,cancer,isolation,,
reopen,movement,bus,digital,patients,city,uk,amid,number,state,eating,chief,shanmugam,local,suspected,vaccines,online,flats,malaysian,dorms,,
tracing,king,air,fight,long,fires,bans,commentary,thailand,response,paper,bock,posts,parliament,worth,high,japan,resident,father,travellers,,
training,restrictions,care,big,road,hits,curbs,pandemic,highest,india,customers,voters,action,receive,case,stock,series,bedok,prince,residents,,
moe,curbs,khaw,time,marina,fire,lockdown,east,discharged,war,fairprice,debate,data,bank,fine,end,wins,yishun,song,working,,
